registrar,registrar_id,registrar_type
'101domain',1011.0,accredited
'inwx',1420.0,accredited
'bigrock',1495.0,accredited
'netim',1519.0,accredited
'openprovider',1647.0,accredited
'regery',0,reseller
'aeserver',0,reseller
'channelislandhosting',0,none
'hexonet',269.0,accredited
'netcetera',0,reseller
'ovh',433.0,accredited
'sav',609.0,accredited
'marcaria',1086.0,accredited
'reg.com',0,none
'crazydomains',1291.0,subsidiary
'easyspace',79.0,accredited
'epik',617.0,accredited
'eurodns',1052.0,accredited
'gandi',81.0,accredited
'instra',1376.0,accredited
'mrdomain',1383.0,accredited
'name.com',625.0,accredited
'onlydomains',0,subsidiary
'porkbun',1861.0,accredited
'regtons',1505.0,accredited
'upflare',0,reseller
'webnames.ca',456.0,accredited
'above.com',940.0,accredited
'alldomains.hosting',809.0,accredited
'amazonroute53',468.0,accredited
'blacknight',1448.0,accredited
'directnic',291.0,accredited
'domain.com',886.0,accredited
'dynadot',472.0,accredited
'godaddy',146.0,accredited
'hover',69.0,accredited
'infomaniak',3240.0,accredited
'istanco',0,reseller
'iwantmyname',0,reseller
'namecheap',1068.0,accredited
'namesilo',1479.0,accredited
'njalla',0,reseller
'uniregistry',0,none
'internet.bs',2487.0,accredited
'123reg',1515.0,accredited
'canspace',0,reseller
'cloudflare',1910.0,accredited
'dotology',637.0,accredited
'dreamhost',431.0,accredited
'googledomains',0,none
'hello.co',1924.0,accredited
'nfsn',0,none
'cosmotown',1509.0,accredited
'hostcab',0,reseller
'francedns',0,reseller
'alibabacloud',1599.0,accredited
'icdsoft',0,reseller
'register.to',0,reseller
'truehost.com',0,reseller
'whois.com',0,reseller
'domgate',0,reseller
'spaceship',3862.0,accredited
'hostinger',1636.0,accredited
'truehost.cloud',0,reseller
